SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"EMMVEE","341.55","344.70","334.05","345.05","336.75","-","-8.3","-2.41","1460108","49.47","371.55","171.51","1.39","0"
"CHOLAFIN","1,789.90","1,789.90","1,770.10","1,804.90","1,773.80","-","-31.1","-1.72","277253","49.30","1,875.00","1,299.40","4.76","14.11"
"CROMPTON","256.70","266.95","254.80","256.50","262.20","-","5.7","2.22","1827895","48.08","352.40","217.40","-4.81","-23.8"
"LLOYDSME","1,864.00","1,892.00","1,855.80","1,865.40","1,876.70","-","11.3","0.61","255578","48.07","1,892.00","1,042.90","6.25","27.43"
"CARTRADE","2,705.90","2,798.00","2,697.10","2,699.40","2,792.00","-","92.6","3.43","172445","47.64","3,290.50","1,600.00","9.2","47.22"
"NESTLEIND","1,436.00","1,449.90","1,420.60","1,427.20","1,441.30","-","14.1","0.99","328766","47.34","1,498.10","1,084.70","1.9","16.63"
"JPPOWER","16.86","17.27","16.68","16.87","16.90","-","0.03","0.18","27725327","47.11","24.50","13.15","-6.48","-26.12"
"ZYDUSWELL","595.00","611.85","592.30","586.45","598.55","-","12.1","2.06","772241","46.53","611.85","367.55","16.76","42.84"
"INDIACEM","398.00","399.95","383.15","410.30","393.65","-","-16.65","-4.06","1176827","46.26","485.80","329.75","5.06","13.45"
"MAXHEALTH","1,090.60","1,097.70","1,088.60","1,089.90","1,095.10","-","5.2","0.48","421556","46.09","1,301.70","903.00","0.11","-9.85"
"IIFL","554.00","563.90","552.30","555.20","555.95","-","0.75","0.14","813236","45.47","675.00","409.10","4.35","4.28"
"HINDZINC","519.00","529.90","518.35","518.35","528.60","-","10.25","1.98","862745","45.25","733.00","413.50","-6.19","21.39"
"LICHSGFIN","548.00","552.00","546.55","549.90","550.85","-","0.95","0.17","818528","45.01","646.50","458.90","0.25","-12.25"
